n,original,restricted,unrestricted
4,16.861168137361677,22.4182211029322,8.75
5,15.233411532824698,17.928380125519674,10.5
6,14.14824587741936,14.935994345348627,11.666666666666666
7,13.373132185013366,13.373132185013366,12.5
