n,original,restricted,unrestricted
4,3.750000009614883,3.7500000192297676,3.7500000000000027
5,3.7500000069419057,4.500000013883813,4.500000000000001
6,3.750000005159922,5.000000010319845,5.0
7,3.7500000038870787,5.357142864917018,5.3571428571428585
