n,original,restricted,unrestricted
4,10.00000000449801,10.000000004498013,10.0
5,10.000000001598416,11.669862605672142,12.0
6,9.999999999665345,12.81732211435683,13.333333333333334
7,9.999999998284581,13.574094832267981,14.285714285714285
