n,original,restricted,unrestricted
4,5.000000008622759,5.000000017245524,5.000000000000001
5,5.000000005898208,6.000000011796418,6.0
6,5.000000004081841,6.666666674830348,6.666666666666667
7,5.000000002784434,7.142857148426011,7.142857142857143
