n,original,restricted,unrestricted
4,1.2500000115522516,1.2500000231045048,1.2500000000000009
5,1.2500000089918029,1.5000000179836075,1.5000000000000009
6,1.2500000072848374,1.6666666812363469,1.666666666666667
7,1.250000006065573,1.7857142978454346,1.785714285714287
