n,original,restricted,unrestricted
4,11.250000003427765,11.250000003427765,11.250000000000002
5,11.250000000492214,11.295140798666703,13.5
6,11.249999998535177,12.401295168810694,15.0
7,11.249999997137298,13.128811802979072,16.071428571428577
