n,original,restricted,unrestricted
4,2.5000000105913833,2.500000021182771,2.5
5,2.500000007973108,3.000000015946217,3.000000000000001
6,2.5000000062275864,3.333333345788508,3.333333333333333
7,2.5000000049807887,3.5714285813901485,3.571428571428571
