n,original,restricted,unrestricted
4,6.250000007615012,6.2500000152300235,6.25
5,6.25000000484201,7.500000009684024,7.5
6,6.250000002993341,8.333333339320017,8.333333333333334
7,6.250000001672866,8.92857143191716,8.928571428571429
