n,original,restricted,unrestricted
4,18.11446131291637,19.92322337251486,11.250000000000002
5,16.73735948827905,16.73735948827905,13.5
6,15.819294884235541,15.819294884235536,15.0
7,15.163537259649306,15.163537259649306,16.071428571428577
